,Media Outlet,Positive Score,Tweet Text,Compound Score,Negative Score,Neutral Score,Date
91,@BBC,0.286,🎭🎬#Oscars outfits designed to dazzle - all the red carpet glamour from the 90th Academy Awards in pictures… https://t.co/iMBBXl75k0,0.7506,0.0,0.714,Mon Mar 05 09:30:07 +0000 2018
92,@BBC,0.0,😍 A rare pure-white stoat! https://t.co/VoR9jXJmk4,0.0,0.0,1.0,Mon Mar 05 09:00:05 +0000 2018
93,@BBC,0.0,"Many personality traits can be observed but there are other hidden forces that shape who we are.
👉… https://t.co/aTsldl7s1z",0.0,0.0,1.0,Mon Mar 05 08:30:04 +0000 2018
94,@BBC,0.0,"🐝🍯 How honey is collected.
#AmazingHotels https://t.co/UIJKlsamx5",0.0,0.0,1.0,Mon Mar 05 08:00:04 +0000 2018
95,@BBC,0.184,RT @BBCNewsbeat: Miss Piggy has some strong feelings about this year's #Oscars selection 🙈😂 https://t.co/vzHGz8PtmD,0.4019,0.089,0.726,Sun Mar 04 20:11:35 +0000 2018
96,@BBC,0.386,Sloths have survived for more than 60 million years - what makes them so successful?  https://t.co/H4BAA5kAOL,0.8468,0.0,0.614,Sun Mar 04 19:00:05 +0000 2018
97,@BBC,0.118,RT @BBCWorld: Watch this baby chimp being flown to a new home in DR Congo after it was rescued from poachers 🐒❤️ https://t.co/mZfGI8h6Gc,0.4215,0.0,0.882,Sun Mar 04 18:59:39 +0000 2018
98,@BBC,0.0,"🎬🏆 So you've got the critical acclaim, you've got the industry buzz, you might even have a Golden Globe in your dow… https://t.co/WdGFOHrFMZ",-0.3182,0.099,0.901,Sun Mar 04 18:00:09 +0000 2018
99,@BBC,0.111,"RT @BBCWorld: What can we expect from the 90th Academy Awards? A lot has changed since last year. 

Here are eight reasons why the 2018 #Os…",0.4588,0.0,0.889,Sun Mar 04 16:57:46 +0000 2018
100,@CBS,0.336,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,0.8625,0.0,0.664,Thu Mar 08 18:00:49 +0000 2018
101,@CBS,0.132,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,0.4926,0.0,0.868,Thu Mar 08 17:03:04 +0000 2018
102,@CBS,0.15,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",-0.2023,0.23,0.619,Wed Mar 07 18:39:10 +0000 2018
103,@CBS,0.0,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",0.0,0.0,1.0,Wed Mar 07 17:06:02 +0000 2018
104,@CBS,0.244,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",0.6705,0.0,0.756,Tue Mar 06 18:10:59 +0000 2018
105,@CBS,0.167,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",0.3818,0.0,0.833,Mon Mar 05 22:16:43 +0000 2018
106,@CBS,0.116,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",0.4404,0.0,0.884,Sun Mar 04 08:05:26 +0000 2018
107,@CBS,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",0.0,0.0,1.0,Sat Mar 03 20:55:20 +0000 2018
108,@CBS,0.247,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",0.7096,0.0,0.753,Fri Mar 02 22:30:01 +0000 2018
109,@CBS,0.282,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",0.7096,0.0,0.718,Fri Mar 02 20:30:01 +0000 2018
110,@CBS,0.151,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",0.4939,0.0,0.849,Fri Mar 02 18:45:00 +0000 2018
111,@CBS,0.0,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,-0.6981,0.21,0.79,Thu Mar 01 18:59:01 +0000 2018
112,@CBS,0.159,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",0.4547,0.092,0.749,Thu Mar 01 18:12:57 +0000 2018
113,@CBS,0.538,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,0.8591,0.0,0.462,Thu Mar 01 18:11:50 +0000 2018
114,@CBS,0.234,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,0.4885,0.151,0.615,Thu Mar 01 18:10:50 +0000 2018
115,@CBS,0.178,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",0.5994,0.0,0.822,Thu Mar 01 14:36:21 +0000 2018
116,@CBS,0.325,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",0.7717,0.0,0.675,Thu Mar 01 14:29:20 +0000 2018
